Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
524000,MAGMA,13 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,16 Aug 2010,-,-,09 Aug 2010,13 Aug 2010,-
500010,HDFC,18 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,20 Aug 2010,-,-,13 Aug 2010,19 Aug 2010,-
532805,REDINGTON,20 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,23 Aug 2010,-,-,13 Aug 2010,20 Aug 2010,-
500257,LUPIN$,27 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,30 Aug 2010,-,-,23 Aug 2010,27 Aug 2010,-
504741,INDIANHUME,30 Aug 2010,Stock  Split From Rs.10/- to Rs.2/-,31 Aug 2010,-,-,24 Aug 2010,30 Aug 2010,-
508869,APOLLOHOSP,02 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,03 Sep 2010,-,-,27 Aug 2010,02 Sep 2010,-
507717,DHANUKA,02 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,04 Sep 2010,-,-,30 Aug 2010,02 Sep 2010,-
590066,KCP,02 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,03 Sep 2010,-,-,27 Aug 2010,02 Sep 2010,-
531149,SRANGMARK,07 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,08 Sep 2010,-,-,01 Sep 2010,07 Sep 2010,-
500825,BRITANNIA,08 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,09 Sep 2010,-,-,02 Sep 2010,08 Sep 2010,-
522287,KALPATPOWR,08 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,09 Sep 2010,-,-,02 Sep 2010,08 Sep 2010,-
500247,KOTAKBANK,13 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,14 Sep 2010,-,-,06 Sep 2010,13 Sep 2010,-
532830,ASTRAL,15 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,16 Sep 2010,-,-,08 Sep 2010,15 Sep 2010,-
533017,RMMIL,15 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,-,17 Sep 2010,19 Sep 2010,09 Sep 2010,16 Sep 2010,-
500055,BHUSANSTL,21 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,-,23 Sep 2010,25 Sep 2010,16 Sep 2010,22 Sep 2010,-
532921,ADANIPORTS,23 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,24 Sep 2010,-,-,17 Sep 2010,23 Sep 2010,-
511605,ARIHCAPM,23 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,24 Sep 2010,-,-,17 Sep 2010,23 Sep 2010,-
531731,KUVAM,23 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,24 Sep 2010,-,-,17 Sep 2010,23 Sep 2010,-
514450,MHLXMIRU,23 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,-,27 Sep 2010,29 Sep 2010,20 Sep 2010,24 Sep 2010,-
532218,SOUTHBANK,23 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,24 Sep 2010,-,-,17 Sep 2010,23 Sep 2010,-
530393,DBSTOCKBRO,24 Sep 2010,Stock  Split From Rs.10/- to Rs.2/-,27 Sep 2010,-,-,20 Sep 2010,24 Sep 2010,-
512105,SHRENTH,24 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,27 Sep 2010,-,-,20 Sep 2010,24 Sep 2010,-
532789,NCOPPER,27 Sep 2010,Stock  Split From Rs.10/- to Rs.1/-,28 Sep 2010,-,-,21 Sep 2010,27 Sep 2010,-
531814,TIRSARJ,28 Sep 2010,Stock  Split From Rs.10/- to Rs.5/-,29 Sep 2010,-,-,22 Sep 2010,27 Sep 2010,-
532719,BLKASHYAP,29 Sep 2010,Stock  Split From Rs.5/- to Rs.1/-,01 Oct 2010,-,-,24 Sep 2010,30 Sep 2010,-
533159,AQUA,01 Oct 2010,Stock  Split From Rs.10/- to Rs.1/-,04 Oct 2010,-,-,24 Sep 2010,01 Oct 2010,-
531447,ROCKONFIN,06 Oct 2010,Stock  Split From Rs.10/- to Rs.5/-,07 Oct 2010,-,-,29 Sep 2010,06 Oct 2010,-
508860,DIAMANT,07 Oct 2010,Stock  Split From Rs.10/- to Rs.2/-,09 Oct 2010,-,-,04 Oct 2010,07 Oct 2010,-
505509,RESPONIND,08 Oct 2010,Stock  Split From Rs.10/- to Rs.1/-,11 Oct 2010,-,-,04 Oct 2010,08 Oct 2010,-
522281,RAMRAT,14 Oct 2010,Stock  Split From Rs.10/- to Rs.5/-,16 Oct 2010,-,-,11 Oct 2010,14 Oct 2010,-
532780,PARSVNATH,18 Oct 2010,Stock  Split From Rs.10/- to Rs.5/-,19 Oct 2010,-,-,12 Oct 2010,18 Oct 2010,-
